"Heading","CUI","Semantic Type", "Preferred Name"
"Room Temp.(25C)","C1547703|C0039476|C0279848","[spco]|[qnco]|[topp]","Room|Temperature|cisplatin/etoposide/mitoxantrone/tamoxifen protocol"
"Table 3 Established and Potential Drug Interactions: Use With Caution, Alteration in Dose or Regimen May Be Needed Due to Drug Interaction Established Drug Interactions: See Clinical Pharmacology (12.3), Table 4 for Magnitude of Interaction.","C0039224|C1706073|C1706074|C0443211|C1272684|C3840750|C0042153|C0457083|C1947944|C1515926|C0178602|C0869039|C1114758|C0040808|C3812381|C2945654|C0027552|C0686904|C0678798|C0687133|C0042789|C1947903|C0031332|C1555729|C0449286|C1704240|C1704675","[mnob]|[mnob]|[inpr]|[qlco]|[qlco]|[fndg]|[ftcn]|[ftcn]|[inpr]|[idcn]|[qnco]|[qnco]|[clna]|[topp]|[tmco]|[inpr]|[qlco]|[ftcn]|[fndg]|[moft]|[orgf]|[acty]|[bmod]|[prog]|[qnco]|[qnco]|[ftcn]","Table - furniture|Table Device Component|Data Table|Established|Accepted|Potential adverse drug interaction|utilization qualifier|Usage|Use - dosing instruction imperative|Alteration|Dosage|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative|Treatment Protocols|Month of May|Regimen - CHV concept|Needs|Patient need for (contextual qualifier)|Adverse drug interaction|Drug Interactions|Vision|See|Clinical pharmacology discipline|Allopathic & Osteopathic Physicians - Clinical Pharmacology|Degree or extent|Magnitude|Interaction"
"Table 1	Oral drugs that can be administered concomitantly with Velphoro","C0039224|C0029167|C0175795|C0304289|C1706073|C1706074|C1521801|C3696395","[mnob]|[bmod]|[topp]|[phsu]|[mnob]|[inpr]|[ftcn]|[phsu]","Table - furniture|Oral Medicine|oral medication|Oral drug preparation|Table Device Component|Data Table|Having administered|Velphoro"
"Table II. ","C0039224|C1706073|C1706074","[mnob]|[mnob]|[inpr]","Table - furniture|Table Device Component|Data Table"
"Table II. ","C0039224|C1706073|C1706074","[mnob]|[mnob]|[inpr]","Table - furniture|Table Device Component|Data Table""Clinically Significant Drug Interactions With Theophylline*","C0237881|C0687133|C0750502|C1546944|C0039771","[mnob]|[mnob]|[inpr][qnco]|[moft]|[idcn]|[qlco]|[bacs, orch, phsu]","Table - furniture|Table Device Component|Data TableStatistical Significance|Drug Interactions|Significant|Event Seriousness - Significant|Theophylline"
"Table III. ","C0039224|C0439070|C1705160|C1706073|C1706074","[mnob]|[inpr]|[qlco]|[mnob]|[inpr]","Table - furniture|Roman Numeral III|III (suffix)|Table Device Component|Data Table"
"Table III. ","C0039224|C0439070|C1705160|C1706073|C1706074","[mnob]|[inpr]|[qlco]|[mnob]|[inpr]","Table - furniture|Roman Numeral III|III (suffix)|Table Device Component|Data Table""Drugs That Have Been Documented Not to Interact With Theophylline or Drugs That Produce No Clinically Significant Interaction With Theophylline*","C0013227|C3687832|C1301725|C1609436|C1518422|C0040363|C0041260|C1883351|C0039771|C0237881|C1704675|C0750502|C1546944","[mnob]|[inpr]|[qlco]|[mnob]|[inpr][phsu]|[topp]|[hlca]|[inpr]|[ftcn]|[geoa]|[aapp, enzy]|[qlco]|[bacs, orch, phsu]|[qnco]|[ftcn]|[idcn]|[qlco]","Table - furniture|Roman Numeral III|III (suffix)|Table Device Component|Data TablePharmaceutical Preparations|Drugs|Documented|Document completion status - Documented|Negation|Togo|Tryptophanase|To|Theophylline|Statistical Significance|Interaction|Significant|Event Seriousness - Significant"
"Parameter","C0549193|C1704769|C2350001","[spco]|[cnce]|[qnco]","Parameter Value|Programming Parameter|Population Parameter"
"\Atazanavir/RitonavirFor information regarding clinical recommendations, see \Drug Interactions (7)\.\, \Parallel group design; ","C1145759|C1533716|C0205210|C0034866|C0237412|C0497591|C1553058|C0042789|C1947903|C0687133|C2348042|C0441833|C1707689|C2983265|C0687744|C1257890|C1552516|C1705428|C1705429|C2826345","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[orgf]|[acty]|[moft]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Vision|See|Drug Interactions|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel Study"
"\Atazanavir/RitonavirFor information regarding clinical recommendations, see \Drug Interactions (7)\.\, \Parallel group design; ","C1145759|C1533716|C0205210|C0034866|C0237412|C0497591|C1553058|C0042789|C1947903|C0687133|C2348042|C0441833|C1707689|C2983265|C0687744|C1257890|C1552516|C1705428|C1705429|C2826345","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[orgf]|[acty]|[moft]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Vision|See|Drug Interactions|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel Study""n = 23 for atazanavir/ritonavir + nevirapine, n = 22 for atazanavir/ritonavir without nevirapine. ","C0369718|C0441922|C0450348|C1977391|C0132326","[orch, phsu]|[idcn]|[qlco]|[idcn]|[prog]|[prog]|[prog]|[orgf]|[acty]|[moft]|[qlco]|[idcn]|[acty]|[inpr]|[popg]|[popg]|[hcro]|[cnce]|[popg]|[resa][aapp, imft]|[inpr]|[qnco]|[phsu]|[orch, phsu]","Atazanavir|Information|Clinical|Recommendation|Psychologist - Clinical|Social Worker - Clinical|Neuropsychologist - Clinical|Vision|See|Drug Interactions|Parallel Lesion|Groups|Design|CDISC SEND Study Design Terminology|Social group|Population Group|Specialty Group|Group Object|User Group|Parallel StudyN not otherwise specified Antibody|N+ (tumor staging)|23|Atazanavir+Ritonavir|Nevirapine"
